name, average, standard, count
Arye_Mekel, 0.247646, 0.000000, 2
Asa_Hutchinson, 0.128394, 0.000000, 2
Ashanti, 0.252334, 0.044097, 5
Ashton_Kutcher, 0.317998, 0.045613, 3
Atal_Bihari_Vajpayee, 0.405111, 0.112015, 24
Augustin_Calleri, 0.365551, 0.078679, 4
Augusto_Pinochet, 0.282137, 0.000000, 2
Augusto_Roa_Bastos, 0.422466, 0.000000, 2
Aung_San_Suu_Kyi, 0.287007, 0.000000, 2
Azra_Akin, 0.365175, 0.063853, 4
Barbara_Brezigar, 0.276687, 0.000000, 2
Barbara_Walters, 0.243001, 0.034865, 4
Barbra_Streisand, 0.344284, 0.050721, 3
Barrett_Jackman, 0.282304, 0.000000, 2
Barry_Alvarez, 0.237512, 0.000000, 2
Barry_Zito, 0.428759, 0.000000, 2
Bashar_Assad, 0.304896, 0.060214, 4
Begum_Khaleda_Zia, 0.234825, 0.000000, 2
Benazir_Bhutto, 0.196513, 0.043648, 5
Benjamin_Netanyahu, 0.370719, 0.082287, 5
Ben_Affleck, 0.501058, 0.138075, 7
Ben_Curtis, 0.351404, 0.115564, 3
Ben_Glisan, 0.247770, 0.000000, 2
Ben_Howland, 0.268912, 0.078999, 4
Bernardo_Segura, 0.306753, 0.000000, 2
Bernard_Landry, 0.251834, 0.168675, 4
Bernard_Law, 0.465178, 0.090040, 5
Bernard_Lord, 0.225099, 0.000000, 2
Bertie_Ahern, 0.433985, 0.106802, 5
Bertrand_Bonello, 0.355756, 0.000000, 2
Beth_Jones, 0.383071, 0.000000, 2
Betsy_Smith, 0.141737, 0.000000, 2
Bijan_Darvish, 0.320696, 0.048317, 3
Bijan_Namdar_Zangeneh, 0.162002, 0.000000, 2
Biljana_Plavsic, 0.313265, 0.075800, 3
Billy_Crystal, 0.632150, 0.154918, 6
Billy_Graham, 0.176656, 0.000000, 2
Billy_Sollie, 0.372269, 0.000000, 2
Bill_Belichick, 0.203552, 0.000000, 2
Bill_Callahan, 0.329921, 0.028839, 3
Bill_Clinton, 0.308058, 0.149087, 29
Bill_Frist, 0.597866, 0.139560, 9
Bill_Gates, 0.289607, 0.125993, 17
Bill_Graham, 0.421471, 0.091008, 9
Bill_McBride, 0.568512, 0.154903, 10
Bill_Nelson, 0.207073, 0.000000, 2
Bill_Parcells, 0.617603, 0.000000, 2
Bill_Paxton, 0.308827, 0.136428, 4
Bill_Simon, 0.577254, 0.158118, 15
Bill_Sizemore, 0.368111, 0.000000, 2
Binyamin_Ben-Eliezer, 0.323919, 0.095049, 7
Blythe_Danner, 0.454954, 0.000000, 2
Blythe_Hartley, 0.310063, 0.000000, 2
Bobby_Goldwater, 0.293203, 0.000000, 2
Bobby_Robson, 0.351284, 0.000000, 2
Bob_Beauprez, 0.353183, 0.000000, 2
Bob_Colvin, 0.154378, 0.000000, 2
Bob_Dole, 0.241521, 0.047540, 3
Bob_Geldof, 0.137381, 0.000000, 2
Bob_Graham, 0.291514, 0.081710, 6
Bob_Hope, 0.455442, 0.125653, 8
Bob_Huggins, 0.436943, 0.117366, 4
Bob_Stoops, 0.387152, 0.143271, 7
Bode_Miller, 0.216371, 0.000000, 2
Bono, 0.284780, 0.109380, 3
Boris_Becker, 0.631407, 0.153669, 6
Boris_Berezovsky, 0.342743, 0.000000, 2
Boris_Yeltsin, 0.373692, 0.000000, 2
Bo_Pelini, 0.179514, 0.000000, 2
Bo_Ryan, 0.515810, 0.000000, 2
Brad_Garrett, 0.340834, 0.046880, 4
Brad_Johnson, 0.314469, 0.163821, 5
Branko_Crvenkovski, 0.313723, 0.053367, 3
Brendan_Hansen, 0.177209, 0.000000, 2
Brian_Cowen, 0.267448, 0.000000, 2
Brian_Griese, 0.169087, 0.000000, 2
