name, average, standard, count
Arye_Mekel, 0.400011, 0.000000, 2
Asa_Hutchinson, 0.266311, 0.000000, 2
Ashanti, 0.511949, 0.088379, 5
Ashton_Kutcher, 0.335299, 0.033059, 3
Atal_Bihari_Vajpayee, 0.405111, 0.105558, 24
Augustin_Calleri, 0.426967, 0.078884, 4
Augusto_Pinochet, 0.425873, 0.000000, 2
Augusto_Roa_Bastos, 0.348592, 0.000000, 2
Aung_San_Suu_Kyi, 0.327013, 0.000000, 2
Azra_Akin, 0.255319, 0.048153, 4
Barbara_Brezigar, 0.294209, 0.000000, 2
Barbara_Walters, 0.398671, 0.065067, 4
Barbra_Streisand, 0.344284, 0.050721, 3
Barrett_Jackman, 0.282304, 0.000000, 2
Barry_Alvarez, 0.685366, 0.000000, 2
Barry_Zito, 0.516384, 0.000000, 2
Bashar_Assad, 0.305594, 0.081808, 4
Begum_Khaleda_Zia, 0.469423, 0.000000, 2
Benazir_Bhutto, 0.311977, 0.100847, 5
Benjamin_Netanyahu, 0.341446, 0.122603, 5
Ben_Affleck, 0.463591, 0.092917, 7
Ben_Curtis, 0.320528, 0.080862, 3
Ben_Glisan, 0.247770, 0.000000, 2
Ben_Howland, 0.294237, 0.088276, 4
Bernardo_Segura, 0.464804, 0.000000, 2
Bernard_Landry, 0.418093, 0.086413, 4
Bernard_Law, 0.392046, 0.105595, 5
Bernard_Lord, 0.257763, 0.000000, 2
Bertie_Ahern, 0.514258, 0.113857, 5
Bertrand_Bonello, 0.358285, 0.000000, 2
Beth_Jones, 0.623276, 0.000000, 2
Betsy_Smith, 0.231023, 0.000000, 2
Bijan_Darvish, 0.386761, 0.065673, 3
Bijan_Namdar_Zangeneh, 0.551643, 0.000000, 2
Biljana_Plavsic, 0.299000, 0.059081, 3
Billy_Crystal, 0.431679, 0.096721, 6
Billy_Graham, 0.238064, 0.000000, 2
Billy_Sollie, 0.308231, 0.000000, 2
Bill_Belichick, 0.419560, 0.000000, 2
Bill_Callahan, 0.420056, 0.091976, 3
Bill_Clinton, 0.361770, 0.117566, 29
Bill_Frist, 0.379316, 0.093632, 9
Bill_Gates, 0.514311, 0.139606, 17
Bill_Graham, 0.390986, 0.100743, 9
Bill_McBride, 0.454498, 0.119141, 10
Bill_Nelson, 0.341015, 0.000000, 2
Bill_Parcells, 0.316079, 0.000000, 2
Bill_Paxton, 0.447995, 0.046199, 4
Bill_Simon, 0.425022, 0.077735, 15
Bill_Sizemore, 0.330963, 0.000000, 2
Binyamin_Ben-Eliezer, 0.274255, 0.052126, 7
Blythe_Danner, 0.286626, 0.000000, 2
Blythe_Hartley, 0.539830, 0.000000, 2
Bobby_Goldwater, 0.385568, 0.000000, 2
Bobby_Robson, 0.573157, 0.000000, 2
Bob_Beauprez, 0.259499, 0.000000, 2
Bob_Colvin, 0.329792, 0.000000, 2
Bob_Dole, 0.413765, 0.042833, 3
Bob_Geldof, 0.396163, 0.000000, 2
Bob_Graham, 0.278165, 0.091470, 6
Bob_Hope, 0.431861, 0.090647, 8
Bob_Huggins, 0.331715, 0.086892, 4
Bob_Stoops, 0.290906, 0.159600, 7
Bode_Miller, 0.450898, 0.000000, 2
Bono, 0.353398, 0.067275, 3
Boris_Becker, 0.408858, 0.106528, 6
Boris_Berezovsky, 0.302895, 0.000000, 2
Boris_Yeltsin, 0.442119, 0.000000, 2
Bo_Pelini, 0.418860, 0.000000, 2
Bo_Ryan, 0.411773, 0.000000, 2
Brad_Garrett, 0.502884, 0.072258, 4
Brad_Johnson, 0.250486, 0.056745, 5
Branko_Crvenkovski, 0.342553, 0.068727, 3
Brendan_Hansen, 0.528481, 0.000000, 2
Brian_Cowen, 0.378889, 0.000000, 2
Brian_Griese, 0.268322, 0.000000, 2
Brian_Heidik, 0.404862, 0.000000, 2
Brian_Mulroney, 0.505020, 0.000000, 2
Brian_Wells, 0.317632, 0.000000, 2
Bridgette_Wilson-Sampras, 0.247814, 0.035978, 3
Bridget_Fonda, 0.389177, 0.081976, 3
Brigitte_Boisselier, 0.313686, 0.000000, 2
Britney_Spears, 0.483192, 0.145493, 14
Brooke_Shields, 0.370669, 0.000000, 2
Bruce_Springsteen, 0.344157, 0.111386, 4
Bruce_Van_De_Velde, 0.375329, 0.000000, 2
Bruce_Weber, 0.607930, 0.000000, 2
Bud_Selig, 0.411948, 0.098182, 4
Bulent_Ecevit, 0.268320, 0.074853, 6
Butch_Davis, 0.443484, 0.000000, 2
Byron_Scott, 0.655711, 0.000000, 2
Calista_Flockhart, 0.443442, 0.105941, 6
Cameron_Diaz, 0.287321, 0.108051, 6
Camilla_Parker_Bowles, 0.414604, 0.000000, 2
Candice_Bergen, 0.403113, 0.013061, 3
Candie_Kung, 0.548800, 0.170398, 4
Carla_Del_Ponte, 0.395355, 0.087129, 5
Carla_Myers, 0.336776, 0.000000, 2
Carlos_Bianchi, 0.476497, 0.000000, 2
Carlos_Ghosn, 0.317653, 0.000000, 2
Carlos_Manuel_Pruneda, 0.307445, 0.040928, 3
Carlos_Menem, 0.408390, 0.143905, 21
Carlos_Mesa, 0.287068, 0.000000, 2
Carlos_Moya, 0.341714, 0.070441, 19
Carlos_Ortega, 0.436844, 0.092752, 3
Carlos_Quintanilla_Schmidt, 0.435035, 0.000000, 2
Carlos_Ruiz, 0.243427, 0.010890, 3
Carlos_Vives, 0.420339, 0.130968, 4
Carlo_Ancelotti, 0.356669, 0.072856, 3
Carly_Fiorina, 0.430000, 0.075259, 3
Carl_Reiner, 0.635700, 0.000000, 2
Carmen_Electra, 0.426414, 0.146870, 6
Carolina_Kluft, 0.342742, 0.036030, 3
Carolina_Moraes, 0.244687, 0.000000, 2
Caroline_Kennedy, 0.331218, 0.090656, 3
Carolyn_Dawn_Johnson, 0.344194, 0.142380, 3
Carol_Burnett, 0.358389, 0.000000, 2
Carol_Moseley_Braun, 0.356985, 0.000000, 2
Carrie-Anne_Moss, 0.418024, 0.064939, 5
Carson_Daly, 0.282562, 0.000000, 2
Carson_Palmer, 0.419015, 0.095052, 4
Cate_Blanchett, 0.545654, 0.092358, 4
Catherine_Deneuve, 0.342599, 0.124980, 5
Catherine_Zeta-Jones, 0.464013, 0.094129, 11
Cathy_Freeman, 0.386136, 0.000000, 2
Cecilia_Bolocco, 0.358658, 0.060354, 3
Celine_Dion, 0.229285, 0.126103, 8
Celso_Amorim, 0.425779, 0.000000, 2
Cesar_Gaviria, 0.274666, 0.064332, 8
Cesar_Maia, 0.362821, 0.000000, 2
Chakib_Khelil, 0.425065, 0.000000, 2
Chanda_Rubin, 0.569924, 0.106612, 5
Chang_Dae-whan, 0.535565, 0.000000, 2
Chan_Gailey, 0.558630, 0.177381, 3
Charles_Bronson, 0.502709, 0.076650, 3
Charles_Grassley, 0.475377, 0.000000, 2
Charles_Kartman, 0.235554, 0.000000, 2
Charles_Mathews, 0.435425, 0.000000, 2
Charles_Moose, 0.621310, 0.130715, 13
Charles_Schumer, 0.231094, 0.000000, 2
Charles_Taylor, 0.393394, 0.111482, 9
Charlie_Zaa, 0.327380, 0.000000, 2
Charlotte_Rampling, 0.452577, 0.000000, 2
Charlton_Heston, 0.314961, 0.055432, 6
Chen_Liang_Yu, 0.434895, 0.000000, 2
Chen_Shui-bian, 0.314215, 0.123368, 5
Cherie_Blair, 0.316704, 0.046436, 4
Chick_Hearn, 0.403578, 0.017996, 3
Chita_Rivera, 0.317064, 0.000000, 2
Choi_Sung-hong, 0.319425, 0.052769, 5
Chok_Tong_Goh, 0.446210, 0.000000, 2
Christian_Fittipaldi, 0.337906, 0.000000, 2
Christian_Longo, 0.275110, 0.038310, 3
Christian_Wulff, 0.210077, 0.000000, 2
Christina_Aguilera, 0.398620, 0.109537, 4
Christine_Baumgartner, 0.422931, 0.087688, 5
Christine_Ebersole, 0.349809, 0.000000, 2
Christine_Gregoire, 0.314199, 0.053095, 4
Christine_Todd_Whitman, 0.382058, 0.043962, 6
Christopher_Patten, 0.407426, 0.000000, 2
Christopher_Reeve, 0.411605, 0.082421, 4
Christopher_Walken, 0.413980, 0.082441, 4
Chris_Bell, 0.440429, 0.000000, 2
Chris_Byrd, 0.217952, 0.000000, 2
Chris_Cooper, 0.649085, 0.000000, 2
Chris_Rock, 0.394530, 0.000000, 2
Chris_Tucker, 0.808042, 0.000000, 2
Chuck_Amato, 0.649276, 0.000000, 2
Chuck_Yeager, 0.545342, 0.000000, 2
Chung_Mong-hun, 0.316587, 0.000000, 2
Chung_Mong-joon, 0.685787, 0.000000, 2
Cindy_Crawford, 0.285207, 0.059882, 3
Cindy_Margolis, 0.766904, 0.000000, 2
Ciro_Gomes, 0.555914, 0.148034, 5
Claire_Danes, 0.390567, 0.118406, 3
Claire_Hentzen, 0.311325, 0.000000, 2
Claire_Leger, 0.200466, 0.000000, 2
Clara_Harris, 0.311094, 0.056723, 5
Clare_Short, 0.463462, 0.119812, 4
Claudia_Pechstein, 0.328689, 0.050362, 5
Claudia_Schiffer, 0.265586, 0.056870, 3
Clay_Aiken, 0.350797, 0.138892, 6
Clint_Eastwood, 0.449932, 0.101544, 6
Colin_Farrell, 0.278626, 0.113295, 9
Colin_Jackson, 0.514365, 0.000000, 2
Colin_Montgomerie, 0.379739, 0.111814, 5
Colin_Powell, 0.461546, 0.116051, 236
Conan_OBrien, 0.254339, 0.052501, 4
Conchita_Martinez, 0.283094, 0.053548, 3
Condoleezza_Rice, 0.320814, 0.116208, 11
Constance_Marie, 0.320689, 0.075129, 3
Coretta_Scott_King, 0.244517, 0.030853, 3
Corinne_Coman, 0.237546, 0.000000, 2
Costas_Simitis, 0.641158, 0.170588, 6
Courtney_Love, 0.543530, 0.000000, 2
Cristina_Fernandez, 0.313005, 0.000000, 2
Cristina_Saralegui, 0.644831, 0.000000, 2
Cruz_Bustamante, 0.372848, 0.075061, 5
Cyndi_Thompson, 0.320838, 0.000000, 2
Daisy_Fuentes, 0.266420, 0.050074, 4
Dai_Bachtiar, 0.489620, 0.000000, 2
Dalai_Lama, 0.260770, 0.000000, 2
Dale_Earnhardt_Jr, 0.434426, 0.154801, 4
Damon_van_Dam, 0.279055, 0.000000, 2
Daniela_Hantuchova, 0.463875, 0.000000, 2
Daniel_Day-Lewis, 0.288152, 0.057336, 3
