name, average, standard, count
Arye_Mekel, 0.275880, 0.000000, 2
Asa_Hutchinson, 0.344326, 0.000000, 2
Ashanti, 0.282751, 0.107058, 5
Ashton_Kutcher, 0.267245, 0.009200, 3
Atal_Bihari_Vajpayee, 0.317339, 0.065819, 24
Augustin_Calleri, 0.196731, 0.091758, 4
Augusto_Pinochet, 0.179110, 0.000000, 2
Augusto_Roa_Bastos, 0.210751, 0.000000, 2
Aung_San_Suu_Kyi, 0.207565, 0.000000, 2
Azra_Akin, 0.239966, 0.045390, 4
Barbara_Brezigar, 0.343189, 0.000000, 2
Barbara_Walters, 0.262429, 0.071094, 4
Barbra_Streisand, 0.310254, 0.053685, 3
Barrett_Jackman, 0.319100, 0.000000, 2
Barry_Alvarez, 0.231156, 0.000000, 2
Barry_Zito, 0.359931, 0.000000, 2
Bashar_Assad, 0.365403, 0.068231, 4
Begum_Khaleda_Zia, 0.365335, 0.000000, 2
Benazir_Bhutto, 0.204460, 0.038821, 5
Benjamin_Netanyahu, 0.338176, 0.075431, 5
Ben_Affleck, 0.271100, 0.068317, 7
Ben_Curtis, 0.301817, 0.047076, 3
Ben_Glisan, 0.447272, 0.000000, 2
Ben_Howland, 0.282292, 0.039346, 4
Bernardo_Segura, 0.317934, 0.000000, 2
Bernard_Landry, 0.250320, 0.068863, 4
Bernard_Law, 0.294290, 0.060769, 5
Bernard_Lord, 0.190206, 0.000000, 2
Bertie_Ahern, 0.417078, 0.109576, 5
Bertrand_Bonello, 0.444729, 0.000000, 2
Beth_Jones, 0.623276, 0.000000, 2
Betsy_Smith, 0.245165, 0.000000, 2
Bijan_Darvish, 0.289237, 0.009115, 3
Bijan_Namdar_Zangeneh, 0.353079, 0.000000, 2
Biljana_Plavsic, 0.236169, 0.030115, 3
Billy_Crystal, 0.226211, 0.128420, 6
Billy_Graham, 0.285683, 0.000000, 2
Billy_Sollie, 0.265499, 0.000000, 2
Bill_Belichick, 0.328916, 0.000000, 2
Bill_Callahan, 0.235343, 0.028187, 3
Bill_Clinton, 0.208320, 0.073102, 29
Bill_Frist, 0.249436, 0.085458, 9
Bill_Gates, 0.216101, 0.070944, 17
Bill_Graham, 0.236142, 0.108806, 9
Bill_McBride, 0.315194, 0.091992, 10
Bill_Nelson, 0.325460, 0.000000, 2
Bill_Parcells, 0.443264, 0.000000, 2
Bill_Paxton, 0.313399, 0.078299, 4
Bill_Simon, 0.207586, 0.091869, 15
Bill_Sizemore, 0.306687, 0.000000, 2
Binyamin_Ben-Eliezer, 0.358675, 0.077201, 7
Blythe_Danner, 0.352175, 0.000000, 2
Blythe_Hartley, 0.218591, 0.000000, 2
Bobby_Goldwater, 0.180152, 0.000000, 2
Bobby_Robson, 0.213068, 0.000000, 2
Bob_Beauprez, 0.235920, 0.000000, 2
Bob_Colvin, 0.208033, 0.000000, 2
Bob_Dole, 0.283557, 0.056509, 3
Bob_Geldof, 0.213797, 0.000000, 2
Bob_Graham, 0.299809, 0.086577, 6
Bob_Hope, 0.259370, 0.084858, 8
Bob_Huggins, 0.302620, 0.039876, 4
Bob_Stoops, 0.187264, 0.069375, 7
Bode_Miller, 0.427326, 0.000000, 2
Bono, 0.415241, 0.044129, 3
Boris_Becker, 0.311864, 0.094282, 6
Boris_Berezovsky, 0.353102, 0.000000, 2
Boris_Yeltsin, 0.335067, 0.000000, 2
Bo_Pelini, 0.395448, 0.000000, 2
Bo_Ryan, 0.285645, 0.000000, 2
Brad_Garrett, 0.265089, 0.066981, 4
Brad_Johnson, 0.240218, 0.111944, 5
Branko_Crvenkovski, 0.271840, 0.074635, 3
Brendan_Hansen, 0.226303, 0.000000, 2
Brian_Cowen, 0.349447, 0.000000, 2
Brian_Griese, 0.308134, 0.000000, 2
Brian_Heidik, 0.304043, 0.000000, 2
Brian_Mulroney, 0.377571, 0.000000, 2
Brian_Wells, 0.344147, 0.000000, 2
Bridgette_Wilson-Sampras, 0.380279, 0.093709, 3
Bridget_Fonda, 0.201501, 0.036468, 3
Brigitte_Boisselier, 0.156233, 0.000000, 2
Britney_Spears, 0.276590, 0.068367, 14
Brooke_Shields, 0.336425, 0.000000, 2
Bruce_Springsteen, 0.246073, 0.040564, 4
Bruce_Van_De_Velde, 0.340210, 0.000000, 2
Bruce_Weber, 0.535313, 0.000000, 2
Bud_Selig, 0.356785, 0.076815, 4
Bulent_Ecevit, 0.235282, 0.074772, 6
Butch_Davis, 0.293543, 0.000000, 2
Byron_Scott, 0.302314, 0.000000, 2
