name, average, standard, count
Barbara_Brezigar, 0.276687, 0.000000, 2
Barbara_Walters, 0.220472, 0.032745, 3
Barry_Alvarez, 0.237512, 0.000000, 2
Barry_Zito, 0.428759, 0.000000, 2
Bashar_Assad, 0.304896, 0.060214, 4
Begum_Khaleda_Zia, 0.234825, 0.000000, 2
Benazir_Bhutto, 0.196513, 0.043648, 5
Benjamin_Netanyahu, 0.330912, 0.069459, 3
Ben_Affleck, 0.501052, 0.149332, 6
Ben_Curtis, 0.351404, 0.115564, 3
Ben_Howland, 0.268912, 0.078999, 4
Bernardo_Segura, 0.306753, 0.000000, 2
Bernard_Landry, 0.210999, 0.008240, 3
Bernard_Law, 0.344725, 0.069295, 4
Bernard_Lord, 0.225099, 0.000000, 2
Bertie_Ahern, 0.433985, 0.106802, 5
Bertrand_Bonello, 0.355756, 0.000000, 2
Beth_Jones, 0.383071, 0.000000, 2
Betsy_Smith, 0.141737, 0.000000, 2
Bijan_Darvish, 0.271258, 0.000000, 2
Bijan_Namdar_Zangeneh, 0.162002, 0.000000, 2
Biljana_Plavsic, 0.313265, 0.075800, 3
Billy_Crystal, 0.293236, 0.099529, 4
Billy_Graham, 0.176656, 0.000000, 2
Billy_Sollie, 0.372269, 0.000000, 2
Bill_Belichick, 0.203552, 0.000000, 2
Bill_Callahan, 0.295009, 0.000000, 2
Bill_Clinton, 0.305092, 0.064403, 10
Bill_Frist, 0.293727, 0.067084, 4
Bill_Gates, 0.266018, 0.040846, 7
Bill_Graham, 0.344103, 0.069215, 7
Bill_McBride, 0.519339, 0.126400, 3
Bill_Nelson, 0.207073, 0.000000, 2
Bill_Parcells, 0.617603, 0.000000, 2
Bill_Paxton, 0.308827, 0.136428, 4
Bill_Simon, 0.169084, 0.084762, 5
Bill_Sizemore, 0.368111, 0.000000, 2
Binyamin_Ben-Eliezer, 0.327588, 0.088899, 5
Blythe_Hartley, 0.310063, 0.000000, 2
Bobby_Goldwater, 0.293203, 0.000000, 2
Bobby_Robson, 0.351284, 0.000000, 2
Bob_Colvin, 0.154378, 0.000000, 2
Bob_Dole, 0.241521, 0.047540, 3
Bob_Geldof, 0.137381, 0.000000, 2
Bob_Graham, 0.291350, 0.064270, 5
Bob_Hope, 0.383185, 0.091335, 6
Bob_Huggins, 0.355042, 0.038916, 3
Bob_Stoops, 0.241987, 0.063443, 4
Bode_Miller, 0.216371, 0.000000, 2
Bono, 0.284780, 0.109380, 3
Boris_Becker, 0.327316, 0.025419, 3
Boris_Berezovsky, 0.342743, 0.000000, 2
Boris_Yeltsin, 0.373692, 0.000000, 2
Bo_Pelini, 0.179514, 0.000000, 2
Brad_Garrett, 0.340834, 0.046880, 4
Brad_Johnson, 0.430676, 0.155484, 4
Branko_Crvenkovski, 0.259622, 0.000000, 2
Brendan_Hansen, 0.177209, 0.000000, 2
Brian_Cowen, 0.267448, 0.000000, 2
Brian_Griese, 0.169087, 0.000000, 2
Brian_Mulroney, 0.199341, 0.000000, 2
Brian_Wells, 0.278899, 0.000000, 2
Bridget_Fonda, 0.342581, 0.116512, 3
Brigitte_Boisselier, 0.291318, 0.000000, 2
Britney_Spears, 0.415172, 0.000000, 2
Brooke_Shields, 0.462137, 0.000000, 2
Bruce_Springsteen, 0.605344, 0.119538, 4
Bruce_Van_De_Velde, 0.294836, 0.000000, 2
Bruce_Weber, 0.388103, 0.000000, 2
Bud_Selig, 0.325853, 0.050129, 4
Bulent_Ecevit, 0.256479, 0.042628, 5
Butch_Davis, 0.313671, 0.000000, 2
Byron_Scott, 0.263051, 0.000000, 2
Calista_Flockhart, 0.268419, 0.048010, 4
Cameron_Diaz, 0.354201, 0.079925, 5
Camilla_Parker_Bowles, 0.277053, 0.000000, 2
Candice_Bergen, 0.260530, 0.074895, 3
Candie_Kung, 0.387287, 0.104261, 3
Carla_Del_Ponte, 0.329551, 0.068411, 5
Carla_Myers, 0.155264, 0.000000, 2
Carlos_Ghosn, 0.208014, 0.000000, 2
Carlos_Manuel_Pruneda, 0.297520, 0.075172, 3
Carlos_Menem, 0.198544, 0.098097, 10
Carlos_Mesa, 0.409696, 0.000000, 2
Carlos_Moya, 0.283765, 0.055667, 4
Carlos_Quintanilla_Schmidt, 0.302391, 0.000000, 2
Carlos_Ruiz, 0.297835, 0.026068, 3
Carlos_Vives, 0.468747, 0.089149, 3
Carlo_Ancelotti, 0.302731, 0.021380, 3
Carly_Fiorina, 0.313314, 0.070129, 3
Carl_Reiner, 0.128009, 0.000000, 2
Carmen_Electra, 0.354967, 0.032020, 3
Carolina_Kluft, 0.273244, 0.035725, 3
Carolina_Moraes, 0.273926, 0.000000, 2
Caroline_Kennedy, 0.268372, 0.034235, 3
Carolyn_Dawn_Johnson, 0.280963, 0.057054, 3
Carol_Burnett, 0.295994, 0.000000, 2
Carol_Moseley_Braun, 0.309913, 0.000000, 2
Carrie-Anne_Moss, 0.243032, 0.064145, 5
Carson_Daly, 0.398968, 0.000000, 2
Carson_Palmer, 0.280180, 0.102816, 3
Cate_Blanchett, 0.333236, 0.069519, 4
Catherine_Deneuve, 0.233484, 0.037167, 5
Catherine_Zeta-Jones, 0.336065, 0.077155, 5
Cathy_Freeman, 0.244735, 0.000000, 2
Cecilia_Bolocco, 0.204283, 0.025902, 3
Celine_Dion, 0.314032, 0.076082, 4
Celso_Amorim, 0.326416, 0.000000, 2
Cesar_Gaviria, 0.195584, 0.064863, 6
Cesar_Maia, 0.446347, 0.000000, 2
Chakib_Khelil, 0.304150, 0.000000, 2
Chanda_Rubin, 0.378788, 0.108333, 4
Chang_Dae-whan, 0.309654, 0.000000, 2
Chan_Gailey, 0.232471, 0.000000, 2
Charles_Bronson, 0.217617, 0.000000, 2
Charles_Grassley, 0.374323, 0.000000, 2
Charles_Kartman, 0.214579, 0.000000, 2
Charles_Mathews, 0.409573, 0.000000, 2
Charles_Moose, 0.239300, 0.000000, 2
Charles_Schumer, 0.361999, 0.000000, 2
Charlie_Zaa, 0.326753, 0.000000, 2
Charlotte_Rampling, 0.297917, 0.000000, 2
Charlton_Heston, 0.343076, 0.080695, 5
Chen_Liang_Yu, 0.455424, 0.000000, 2
Chen_Shui-bian, 0.289119, 0.050733, 4
Cherie_Blair, 0.245182, 0.030779, 4
Chick_Hearn, 0.340295, 0.000000, 2
Chita_Rivera, 0.266656, 0.000000, 2
Choi_Sung-hong, 0.182584, 0.078625, 5
Chok_Tong_Goh, 0.361003, 0.000000, 2
Christian_Longo, 0.263666, 0.055569, 3
Christian_Wulff, 0.198207, 0.000000, 2
Christina_Aguilera, 0.310320, 0.075285, 3
Christine_Baumgartner, 0.265800, 0.034247, 4
Christine_Ebersole, 0.494992, 0.000000, 2
Christine_Gregoire, 0.306448, 0.112910, 4
Christine_Todd_Whitman, 0.310087, 0.021863, 4
Christopher_Patten, 0.478516, 0.000000, 2
