name, average, standard, count
Ashanti, 0.178030, 0.037362, 5
Ashton_Kutcher, 0.451855, 0.039795, 3
Atal_Bihari_Vajpayee, 0.474596, 0.135974, 24
Augustin_Calleri, 0.457093, 0.109772, 4
Augusto_Pinochet, 0.221637, 0.000000, 2
Augusto_Roa_Bastos, 0.499252, 0.000000, 2
Aung_San_Suu_Kyi, 0.245965, 0.000000, 2
Azra_Akin, 0.435005, 0.150573, 4
Barbara_Brezigar, 0.392042, 0.000000, 2
Barbara_Walters, 0.292345, 0.081771, 4
Barbra_Streisand, 0.326669, 0.067316, 3
Barrett_Jackman, 0.156507, 0.000000, 2
Barry_Alvarez, 0.237075, 0.000000, 2
Barry_Zito, 0.279882, 0.000000, 2
Bashar_Assad, 0.487821, 0.258915, 4
Begum_Khaleda_Zia, 0.271214, 0.000000, 2
Benazir_Bhutto, 0.290963, 0.047425, 5
Benjamin_Netanyahu, 0.266236, 0.114429, 5
Ben_Affleck, 0.479377, 0.134885, 7
Ben_Curtis, 0.354889, 0.021522, 3
Ben_Glisan, 0.370827, 0.000000, 2
Ben_Howland, 0.259633, 0.074431, 4
Bernardo_Segura, 0.288881, 0.000000, 2
Bernard_Landry, 0.250720, 0.056864, 3
Bernard_Law, 0.247537, 0.046304, 5
Bernard_Lord, 0.278695, 0.000000, 2
Bertie_Ahern, 0.382182, 0.129374, 5
Betsy_Smith, 0.148008, 0.000000, 2
Bijan_Darvish, 0.369302, 0.140860, 3
Bijan_Namdar_Zangeneh, 0.295012, 0.000000, 2
Biljana_Plavsic, 0.258021, 0.044235, 3
Billy_Crystal, 0.209328, 0.031779, 6
Billy_Graham, 0.340716, 0.000000, 2
Billy_Sollie, 0.305691, 0.000000, 2
Bill_Belichick, 0.112661, 0.000000, 2
Bill_Callahan, 0.345794, 0.034347, 3
Bill_Clinton, 0.447323, 0.117756, 29
Bill_Frist, 0.188699, 0.057859, 9
Bill_Gates, 0.210745, 0.084018, 17
Bill_Graham, 0.346331, 0.125376, 9
Bill_McBride, 0.538891, 0.152403, 10
Bill_Nelson, 0.444990, 0.000000, 2
Bill_Parcells, 0.603531, 0.000000, 2
Bill_Paxton, 0.466741, 0.146453, 4
Bill_Simon, 0.198706, 0.082352, 15
Bill_Sizemore, 0.232218, 0.000000, 2
Binyamin_Ben-Eliezer, 0.335559, 0.090650, 6
Blythe_Danner, 0.440358, 0.000000, 2
Blythe_Hartley, 0.290288, 0.000000, 2
Bobby_Goldwater, 0.219511, 0.000000, 2
Bobby_Robson, 0.461355, 0.000000, 2
Bob_Beauprez, 0.443623, 0.000000, 2
Bob_Colvin, 0.115499, 0.000000, 2
Bob_Dole, 0.232635, 0.037094, 3
Bob_Graham, 0.328302, 0.094361, 6
Bob_Hope, 0.372506, 0.119282, 8
Bob_Huggins, 0.322968, 0.068618, 4
Bob_Stoops, 0.195681, 0.049193, 7
Bode_Miller, 0.206814, 0.000000, 2
Bono, 0.553102, 0.100813, 3
Boris_Becker, 0.290659, 0.101434, 6
Boris_Berezovsky, 0.315361, 0.000000, 2
Boris_Yeltsin, 0.426632, 0.000000, 2
Bo_Pelini, 0.231646, 0.000000, 2
Bo_Ryan, 0.449311, 0.000000, 2
Brad_Garrett, 0.266732, 0.078367, 4
Brad_Johnson, 0.315050, 0.120768, 5
Branko_Crvenkovski, 0.224491, 0.045068, 3
Brendan_Hansen, 0.205980, 0.000000, 2
Brian_Cowen, 0.200439, 0.000000, 2
Brian_Griese, 0.276350, 0.000000, 2
Brian_Heidik, 0.310595, 0.000000, 2
Brian_Mulroney, 0.350357, 0.000000, 2
Brian_Wells, 0.308940, 0.000000, 2
Bridgette_Wilson-Sampras, 0.520522, 0.063983, 3
Bridget_Fonda, 0.233607, 0.056620, 3
Brigitte_Boisselier, 0.283941, 0.000000, 2
Britney_Spears, 0.228304, 0.071307, 14
Brooke_Shields, 0.501338, 0.000000, 2
Bruce_Springsteen, 0.405474, 0.084180, 4
Bruce_Van_De_Velde, 0.341642, 0.000000, 2
Bruce_Weber, 0.233302, 0.000000, 2
Bud_Selig, 0.217485, 0.026381, 4
Bulent_Ecevit, 0.261512, 0.061665, 6
Butch_Davis, 0.205550, 0.000000, 2
Byron_Scott, 0.424103, 0.000000, 2
Calista_Flockhart, 0.193675, 0.071350, 6
Cameron_Diaz, 0.216030, 0.112804, 6
Camilla_Parker_Bowles, 0.219606, 0.000000, 2
Candice_Bergen, 0.253663, 0.096226, 3
Candie_Kung, 0.257477, 0.103258, 4
Carla_Del_Ponte, 0.731001, 0.308331, 5
Carla_Myers, 0.229537, 0.000000, 2
Carlos_Bianchi, 0.249027, 0.000000, 2
Carlos_Ghosn, 0.187207, 0.000000, 2
Carlos_Manuel_Pruneda, 0.273944, 0.071670, 3
Carlos_Menem, 0.272253, 0.124448, 21
Carlos_Mesa, 0.404775, 0.000000, 2
Carlos_Moya, 0.531884, 0.101607, 19
Carlos_Ortega, 0.360715, 0.084081, 3
Carlos_Quintanilla_Schmidt, 0.357096, 0.000000, 2
Carlos_Ruiz, 0.425940, 0.091358, 3
Carlos_Vives, 0.350473, 0.072038, 4
Carlo_Ancelotti, 0.257099, 0.007037, 3
Carly_Fiorina, 0.328659, 0.072146, 3
Carl_Reiner, 0.259420, 0.000000, 2
Carmen_Electra, 0.370349, 0.122819, 6
Carolina_Kluft, 0.317277, 0.019515, 3
Carolina_Moraes, 0.200051, 0.000000, 2
Caroline_Kennedy, 0.334114, 0.042198, 3
Carolyn_Dawn_Johnson, 0.266585, 0.089243, 3
Carol_Burnett, 0.129794, 0.000000, 2
Carol_Moseley_Braun, 0.371648, 0.000000, 2
Carrie-Anne_Moss, 0.276344, 0.044574, 5
Carson_Daly, 0.416199, 0.000000, 2
Carson_Palmer, 0.314446, 0.098114, 4
Cate_Blanchett, 0.264598, 0.076573, 4
Catherine_Deneuve, 0.161899, 0.057854, 5
Catherine_Zeta-Jones, 0.281245, 0.084547, 11
Cathy_Freeman, 0.394581, 0.000000, 2
Cecilia_Bolocco, 0.230858, 0.010147, 3
Celine_Dion, 0.270212, 0.105663, 8
Celso_Amorim, 0.287097, 0.000000, 2
Cesar_Gaviria, 0.230258, 0.055134, 8
Cesar_Maia, 0.455301, 0.000000, 2
Chakib_Khelil, 0.187054, 0.000000, 2
Chanda_Rubin, 0.349761, 0.098411, 5
Chang_Dae-whan, 0.318863, 0.000000, 2
Chan_Gailey, 0.363519, 0.070384, 3
Charles_Bronson, 0.384491, 0.086892, 3
Charles_Grassley, 0.281694, 0.000000, 2
Charles_Kartman, 0.204195, 0.000000, 2
Charles_Moose, 0.334963, 0.210842, 13
Charles_Schumer, 0.447313, 0.000000, 2
Charles_Taylor, 0.352323, 0.131537, 9
Charlotte_Rampling, 0.336843, 0.000000, 2
Charlton_Heston, 0.287705, 0.112231, 6
Chen_Liang_Yu, 0.249823, 0.000000, 2
Chen_Shui-bian, 0.232770, 0.056114, 5
Cherie_Blair, 0.233152, 0.037865, 4
